The Book of Mormon ||| El Libro de Mormón
23 The glasses , and the fine linen , and hoods , and the veils . ||| 23 los espejos , y los linos finos , y los rebozos , y los velos .
24 And it shall come to pass , instead of sweet smell there shall be stink ; and instead of a girdle , a rent ; and instead of well set hair , baldness ; and instead of a stomacher , a girding of sackcloth ; burning instead of beauty . ||| 24 Y sucederá que en lugar de perfumes , habrá hediondez ; y soga en lugar de cinturón ; y en lugar de cabellos peinados , calvicie ; y en lugar de mantos , cilicio ; y quemadura en lugar de hermosura .
25 Thy men shall fall by the sword and thy mighty in the war . ||| 25 Tus varones caerán a espada , y tus fuertes en la batalla .
26 And her gates shall lament and mourn ; and she shall be desolate , and shall sit upon the ground . ||| 26 Y sus puertas se lamentarán y enlutarán , y ella , desolada , se sentará en tierra .
Chapter 14 ||| Capítulo 14
Zion and her daughters will be redeemed and cleansed in the millennial day — Compare Isaiah 4. About 559–545  B . C . ||| Sion y sus hijas serán redimidas y purificadas en el día milenario  — Compárese con Isaías 4. Aproximadamente 559–545  a . C .
1 And in that day , seven women shall take hold of one man , saying : We will eat our own bread , and wear our own apparel ; only let us be called by thy name to take away our reproach . ||| 1 Y en aquel día siete mujeres echarán mano de un hombre , diciendo : Nuestro propio pan comeremos , y con nuestra propia ropa nos vestiremos ; tan solo déjanos llevar tu nombre para quitar nuestro oprobio .
2 In that day shall the branch of the Lord be beautiful and glorious ; the fruit of the earth excellent and comely to them that are escaped of Israel . ||| 2 En aquel día el renuevo del Señor será bello y glorioso , y el fruto de la tierra excelente y hermoso para los de Israel que hayan escapado .
3 And it shall come to pass , they that are left in Zion and remain in Jerusalem shall be called holy , every one that is written among the living in Jerusalem — ||| 3 Y acontecerá que los que fueren dejados en Sion , y los que quedaren en Jerusalén , serán llamados santos , todos los que en Jerusalén estén inscritos entre los vivientes ,
4 When the Lord shall have washed away the filth of the daughters of Zion , and shall have purged the blood of Jerusalem from the midst thereof by the spirit of judgment and by the spirit of burning . ||| 4 cuando el Señor haya lavado la inmundicia de las hijas de Sion , y limpiado la sangre de Jerusalén de en medio de ella con espíritu de juicio y con espíritu de ardimiento .
5 And the Lord will create upon every dwelling - place of mount Zion , and upon her assemblies , a cloud and smoke by day and the shining of a flaming fire by night ; for upon all the glory of Zion shall be a defence . ||| 5 Y creará el Señor , sobre toda morada del monte de Sion , y sobre sus asambleas , una nube y humo de día , y resplandor de fuego y llamas de noche , porque sobre toda la gloria de Sion habrá una defensa .
6 And there shall be a tabernacle for a shadow in the daytime from the heat , and for a place of refuge , and a covert from storm and from rain . ||| 6 Y habrá un tabernáculo para sombra contra el calor del día , y para refugio y abrigo contra el turbión y contra el aguacero .
Chapter 15 ||| Capítulo 15
The Lord ’ s vineyard ( Israel ) will become desolate , and His people will be scattered — Woes will come upon them in their apostate and scattered state — The Lord will lift an ensign and gather Israel — Compare Isaiah 5. About 559–545  B . C . ||| La viña del Señor ( Israel ) será asolada , y Su pueblo será esparcido  — Les sobrevendrán calamidades en su estado apóstata y de esparcimiento  — El Señor alzará estandarte a las naciones y recogerá a Israel  — Compárese con Isaías 5. Aproximadamente 559–545  a . C .
1 And then will I sing to my well - beloved a song of my beloved , touching his vineyard . My well - beloved hath a vineyard in a very fruitful hill . ||| 1 Y entonces cantaré a mi muy amado el cantar de mi amado respecto de su viña . Mi amado tenía una viña en un collado muy fértil .
2 And he fenced it , and gathered out the stones thereof , and planted it with the choicest vine , and built a tower in the midst of it , and also made a wine - press therein ; and he looked that it should bring forth grapes , and it brought forth wild grapes . ||| 2 Y la cercó y despedregó y la plantó de vides escogidas , y edificó una torre en medio de ella , y también hizo un lagar ; y esperaba que diese uvas , y dio uvas silvestres .
3 And now , O inhabitants of Jerusalem , and men of Judah , judge , I pray you , betwixt me and my vineyard . ||| 3 Ahora pues , oh habitantes de Jerusalén y varones de Judá , juzgad , os ruego , entre mí y mi viña .
4 What could have been done more to my vineyard that I have not done in it ? Wherefore , when I looked that it should bring forth grapes it brought forth wild grapes . ||| 4 ¿ Qué más podía hacerse por mi viña que yo no haya hecho ? ¿ Por qué , cuando esperaba que produjese uvas , uvas silvestres produjo ?
5 And now go to ; I will tell you what I will do to my vineyard — I will take away the hedge thereof , and it shall be eaten up ; and I will break down the wall thereof , and it shall be trodden down ; ||| 5 Pues ahora os diré lo que voy a hacer con mi viña : Le quitaré su vallado , y será consumida ; derribaré su cerca , y será hollada ;
6 And I will lay it waste ; it shall not be pruned nor digged ; but there shall come up briers and thorns ; I will also command the clouds that they rain no rain upon it . ||| 6 y la asolaré ; no será podada ni cavada , sino que en ella crecerán cardos y espinos ; también mandaré a las nubes que no derramen lluvia sobre ella .
7 For the vineyard of the Lord of Hosts is the house of Israel , and the men of Judah his pleasant plant ; and he looked for judgment , and behold , oppression ; for righteousness , but behold , a cry . ||| 7 Porque la viña del Señor de los Ejércitos es la casa de Israel , y los hombres de Judá son su planta deleitosa . Y él esperaba justicia , y he aquí vileza ; rectitud , y he aquí clamor .
8 Wo unto them that join house to house , till there can be no place , that they may be placed alone in the midst of the earth ! ||| 8 ¡ Ay de los que juntan casa con casa , hasta no haber más lugar , para quedar solos en medio de la tierra !
9 In mine ears , said the Lord of Hosts , of a truth many houses shall be desolate , and great and fair cities without inhabitant . ||| 9 En mis oídos ha dicho el Señor de los Ejércitos : En verdad , muchas casas han de quedar asoladas , y grandes y hermosas ciudades quedarán sin habitantes .
10 Yea , ten acres of vineyard shall yield one bath , and the seed of a homer shall yield an ephah . ||| 10 Sí , diez yugadas de viña producirán un bato ; y un homer de semilla producirá una efa .
11 Wo unto them that rise up early in the morning , that they may follow strong drink , that continue until night , and wine inflame them ! ||| 11 ¡ Ay de los que se levantan temprano por la mañana para seguir la embriaguez ; que continúan hasta la noche , hasta que los enciende el vino !
12 And the harp , and the viol , the tabret , and pipe , and wine are in their feasts ; but they regard not the work of the Lord , neither consider the operation of his hands . ||| 12 Arpas , vihuelas , tamboriles , flautas y vino hay en sus banquetes ; mas no observan la obra del Señor , ni consideran las obras de sus manos .
13 Therefore , my people are gone into captivity , because they have no knowledge ; and their honorable men are famished , and their multitude dried up with thirst . ||| 13 Por tanto , mi pueblo ha ido en cautiverio , porque carece de conocimiento ; y perecen de hambre sus nobles , y su multitud se seca de sed .
14 Therefore , hell hath enlarged herself , and opened her mouth without measure ; and their glory , and their multitude , and their pomp , and he that rejoiceth , shall descend into it . ||| 14 Por tanto , el infierno ensanchó su seno , y abrió su boca desmedidamente ; y allá descenderá la gloria de ellos , y su multitud , y su algazara , y el que en ello se huelga .
15 And the mean man shall be brought down , and the mighty man shall be humbled , and the eyes of the lofty shall be humbled . ||| 15 Y el hombre vil será humillado , y el varón poderoso será abatido , y los ojos del altivo serán bajados .
16 But the Lord of Hosts shall be exalted in judgment , and God that is holy shall be sanctified in righteousness . ||| 16 Mas el Señor de los Ejércitos será ensalzado en juicio , y el Dios Santo será santificado en justicia .
17 Then shall the lambs feed after their manner , and the waste places of the fat ones shall strangers eat . ||| 17 Entonces los corderos pacerán según su costumbre , y los lugares desolados de los ricos los comerán los extraños .
18 Wo unto them that draw iniquity with cords of vanity , and sin as it were with a cart rope ; ||| 18 ¡ Ay de los que arrastran la iniquidad con cuerdas de vanidad , y el pecado como si fuera con coyundas de carro ;
19 That say : Let him make speed , hasten his work , that we may see it ; and let the counsel of the Holy One of Israel draw nigh and come , that we may know it . ||| 19 quienes dicen : Dése prisa ; haga presto su obra para que podamos verla ; acérquese y venga el consejo del Santo de Israel para que lo conozcamos !
20 Wo unto them that call evil good , and good evil , that put darkness for light , and light for darkness , that put bitter for sweet , and sweet for bitter ! ||| 20 ¡ Ay de los que a lo malo llaman bueno , y a lo bueno malo ; que ponen tinieblas por luz , y luz por tinieblas ; que ponen lo amargo por dulce , y lo dulce por amargo !
21 Wo unto the wise in their own eyes and prudent in their own sight ! ||| 21 ¡ Ay de los que son sabios a sus propios ojos , y prudentes delante de sí mismos !
22 Wo unto the mighty to drink wine , and men of strength to mingle strong drink ; ||| 22 ¡ Ay de los que son valientes para beber vino , y varones fuertes para mezclar licores ;
23 Who justify the wicked for reward , and take away the righteousness of the righteous from him ! ||| 23 que justifican al inicuo por cohecho , y quitan al justo su rectitud !
24 Therefore , as the fire devoureth the stubble , and the flame consumeth the chaff , their root shall be rottenness , and their blossoms shall go up as dust ; because they have cast away the law of the Lord of Hosts , and despised the word of the Holy One of Israel . ||| 24 Por tanto , así como el fuego devora el rastrojo , y la llama consume la paja , su raíz será podredumbre , y sus flores se desvanecerán como polvo ; porque han desechado la ley del Señor de los Ejércitos , y han despreciado la palabra del Santo de Israel .
25 Therefore , is the anger of the Lord kindled against his people , and he hath stretched forth his hand against them , and hath smitten them ; and the hills did tremble , and their carcasses were torn in the midst of the streets . For all this his anger is not turned away , but his hand is stretched out still . ||| 25 Por esta causa se encendió el furor del Señor contra su pueblo , y extendió contra él su mano , y lo hirió ; y se estremecieron los collados , y sus cadáveres fueron destrozados en medio de las calles . Con todo esto , no se ha aplacado su ira , sino que aún está extendida su mano .
26 And he will lift up an ensign to the nations from far , and will hiss unto them from the end of the earth ; and behold , they shall come with speed swiftly ; none shall be weary nor stumble among them . ||| 26 Y alzará estandarte a las naciones de lejos , y les silbará desde el cabo de la tierra ; y he aquí que vendrán presto y aceleradamente ; y entre ellos no habrá cansado , ni quien tropiece .
27 None shall slumber nor sleep ; neither shall the girdle of their loins be loosed , nor the latchet of their shoes be broken ; ||| 27 Nadie dormitará ni se dormirá ; a ninguno le será desatado el cinto de los lomos , ni se le romperá la correa de sus zapatos ;
28 Whose arrows shall be sharp , and all their bows bent , and their horses ’ hoofs shall be counted like flint , and their wheels like a whirlwind , their roaring like a lion . ||| 28 sus flechas estarán aguzadas , y todos sus arcos entesados ; y los cascos de sus caballos serán como de pedernal , las ruedas de sus carros como torbellino y su rugido como de león .
29 They shall roar like young lions ; yea , they shall roar , and lay hold of the prey , and shall carry away safe , and none shall deliver . ||| 29 Rugirán como leoncillos ; sí , bramarán y se echarán sobre la presa , y la llevarán seguros , y no habrá quien se la quite .
30 And in that day they shall roar against them like the roaring of the sea ; and if they look unto the land , behold , darkness and sorrow , and the light is darkened in the heavens thereof . ||| 30 Y en aquel día rugirán contra ellos como el bramido del mar ; y si miraren hacia la tierra , he aquí , tinieblas y tribulación , y la luz se obscurecerá en sus cielos .
Chapter 16 ||| Capítulo 16
Isaiah sees the Lord — Isaiah ’ s sins are forgiven — He is called to prophesy — He prophesies of the rejection by the Jews of Christ ’ s teachings — A remnant will return — Compare Isaiah 6. About 559–545  B . C . ||| Isaías ve al Señor  — Son perdonados los pecados de Isaías  — Él es llamado a profetizar  — Profetiza que los judíos rechazarán las enseñanzas de Cristo  — Un resto volverá  — Compárese con Isaías 6. Aproximadamente 559–545  a . C .
1 In the year that king Uzziah died , I saw also the Lord sitting upon a throne , high and lifted up , and his train filled the temple . ||| 1 En el año en que murió el rey Uzías , vi también al Señor sentado sobre un trono alto y enaltecido , y las faldas de su ropa llenaban el templo .
2 Above it stood the seraphim ; each one had six wings ; with twain he covered his face , and with twain he covered his feet , and with twain he did fly . ||| 2 Encima del trono estaban los serafines ; cada uno de ellos tenía seis alas ; con dos se cubrían el rostro , con dos los pies , y con dos volaban .
3 And one cried unto another , and said : Holy , holy , holy , is the Lord of Hosts ; the whole earth is full of his glory . ||| 3 Y el uno exclamaba al otro , diciendo : ¡ Santo , santo , santo es el Señor de los Ejércitos ; toda la tierra está llena de su gloria !
4 And the posts of the door moved at the voice of him that cried , and the house was filled with smoke . ||| 4 Y a la voz del que clamaba , se estremecieron los quiciales de las puertas , y la casa se llenó de humo .
5 Then said I : Wo is unto me ! for I am undone ; because I am a man of unclean lips ; and I dwell in the midst of a people of unclean lips ; for mine eyes have seen the King , the Lord of Hosts . ||| 5 Entonces dije yo : ¡ Ay de mí !, pues soy perdido ; porque soy hombre de labios inmundos , y habito entre un pueblo de labios inmundos ; por cuanto mis ojos han visto al Rey , el Señor de los Ejércitos .
6 Then flew one of the seraphim unto me , having a live coal in his hand , which he had taken with the tongs from off the altar ; ||| 6 Entonces voló hacia mí uno de los serafines con un carbón encendido en la mano , el cual había tomado del altar con las tenazas ;
7 And he laid it upon my mouth , and said : Lo , this has touched thy lips ; and thine iniquity is taken away , and thy sin purged . ||| 7 y tocó con él sobre mi boca , y dijo : He aquí , esto ha tocado tus labios , y tu iniquidad es quitada , y borrado es tu pecado .
8 Also I heard the voice of the Lord , saying : Whom shall I send , and who will go for us ? Then I said : Here am I ; send me . ||| 8 Y luego oí la voz del Señor decir : ¿ A quién enviaré , y quién irá por nosotros ? Entonces dije : Heme aquí , envíame a mí .
9 And he said : Go and tell this people — Hear ye indeed , but they understood not ; and see ye indeed , but they perceived not . ||| 9 Y él dijo : Ve y di a este pueblo : Oíd bien , mas no entendieron ; ved por cierto , mas no percibieron .
10 Make the heart of this people fat , and make their ears heavy , and shut their eyes — lest they see with their eyes , and hear with their ears , and understand with their heart , and be converted and be healed . ||| 10 Deja que se endurezca el corazón de este pueblo , y que se entorpezcan sus oídos , y que sean cerrados sus ojos ; no sea que vea con sus ojos , y oiga con sus oídos , y entienda con su corazón , y sea convertido y sanado .
11 Then said I : Lord , how long ? And he said : Until the cities be wasted without inhabitant , and the houses without man , and the land be utterly desolate ; ||| 11 Yo entonces dije : Señor , ¿ hasta cuándo ? Y él respondió : Hasta que las ciudades queden asoladas y sin habitantes , y las casas sin hombre , y la tierra enteramente desierta ;
12 And the Lord have removed men far away , for there shall be a great forsaking in the midst of the land . ||| 12 y el Señor haya echado lejos a los hombres , porque habrá gran desolación en medio de la tierra .
13 But yet there shall be a tenth , and they shall return , and shall be eaten , as a teil tree , and as an oak whose substance is in them when they cast their leaves ; so the holy seed shall be the substance thereof . ||| 13 Mas todavía quedará una décima parte , y volverá , y será consumida ; como el terebinto y como la encina que guardan en sí su substancia cuando echan sus hojas ; así la santa semilla será su substancia .
Chapter 17 ||| Capítulo 17
Ephraim and Syria wage war against Judah — Christ will be born of a virgin — Compare Isaiah 7. About 559–545  B . C . ||| Efraín y Siria guerrean contra Judá  — Cristo nacerá de una virgen  — Compárese con Isaías 7. Aproximadamente 559–545  a . C .
1 And it came to pass in the days of Ahaz the son of Jotham , the son of Uzziah , king of Judah , that Rezin , king of Syria , and Pekah the son of Remaliah , king of Israel , went up toward Jerusalem to war against it , but could not prevail against it . ||| 1 Y en los días de Acaz hijo de Jotam , hijo de Uzías , rey de Judá , aconteció que Rezín , rey de Siria , y Peca hijo de Remalías , rey de Israel , vinieron sobre Jerusalén para combatirla , mas no pudieron prevalecer contra ella .
2 And it was told the house of David , saying : Syria is confederate with Ephraim . And his heart was moved , and the heart of his people , as the trees of the wood are moved with the wind . ||| 2 Y fue dado el aviso a la casa de David , diciendo : Siria se ha confederado con Efraín . Y se le estremeció el corazón , y el corazón de su pueblo , como los árboles del bosque se sacuden con el viento .
3 Then said the Lord unto Isaiah : Go forth now to meet Ahaz , thou and Shearjashub thy son , at the end of the conduit of the upper pool in the highway of the fuller ’ s field ; ||| 3 Entonces dijo el Señor a Isaías : Sal ahora a encontrar a Acaz , tú y tu hijo Sear - jasub , al extremo del conducto del estanque superior , por el camino del campo del lavador ;
4 And say unto him : Take heed , and be quiet ; fear not , neither be faint - hearted for the two tails of these smoking firebrands , for the fierce anger of Rezin with Syria , and of the son of Remaliah . ||| 4 y dile : Ten cuidado , y permanece tranquilo ; no temas , ni desfallezca tu corazón por estos dos cabos de tizón encendidos que humean , por causa de la furiosa ira de Rezín y de Siria , y del hijo de Remalías .
5 Because Syria , Ephraim , and the son of Remaliah , have taken evil counsel against thee , saying : ||| 5 Porque Siria , Efraín y el hijo de Remalías han tomado mal acuerdo contra ti , diciendo :
6 Let us go up against Judah and vex it , and let us make a breach therein for us , and set a king in the midst of it , yea , the son of Tabeal . ||| 6 Subamos contra Judá y hostiguémosla , y abramos brecha en ella para nosotros , y pongámosle rey en su centro ; sí , al hijo de Tabeel .
7 Thus saith the Lord God : It shall not stand , neither shall it come to pass . ||| 7 Así dice el Señor Dios : No subsistirá ni acontecerá .
8 For the head of Syria is Damascus , and the head of Damascus , Rezin ; and within threescore and five years shall Ephraim be broken that it be not a people . ||| 8 Porque la cabeza de Siria es Damasco , y la cabeza de Damasco , Rezín ; y dentro de sesenta y cinco años , Efraín será quebrantado hasta dejar de ser pueblo .
9 And the head of Ephraim is Samaria , and the head of Samaria is Remaliah ’ s son . If ye will not believe surely ye shall not be established . ||| 9 Y la cabeza de Efraín es Samaria , y la cabeza de Samaria , el hijo de Remalías . Si no creéis , de cierto no permaneceréis .
10 Moreover , the Lord spake again unto Ahaz , saying : ||| 10 Además , habló el Señor otra vez a Acaz , diciendo :
11 Ask thee a sign of the Lord thy God ; ask it either in the depths , or in the heights above . ||| 11 Pide para ti una señal del Señor tu Dios ; pídela ya sea abajo en lo profundo , o en lo alto arriba .
12 But Ahaz said : I will not ask , neither will I tempt the Lord . ||| 12 Mas dijo Acaz : No pediré , ni tentaré al Señor .
13 And he said : Hear ye now , O house of David ; is it a small thing for you to weary men , but will ye weary my God also ? ||| 13 Y él respondió : Oíd ahora vosotros , ¡ oh casa de David ! ¿ Es cosa pequeña para vosotros molestar a los hombres , que molestéis también a mi Dios ?
14 Therefore , the Lord himself shall give you a sign — Behold , a virgin shall conceive , and shall bear a son , and shall call his name Immanuel . ||| 14 Por tanto , el Señor mismo os dará una señal : He aquí que una virgen concebirá y dará a luz un hijo , y llamará su nombre Emanuel .
15 Butter and honey shall he eat , that he may know to refuse the evil and to choose the good . ||| 15 Mantequilla y miel comerá , hasta que sepa desechar lo malo y escoger lo bueno .
16 For before the child shall know to refuse the evil and choose the good , the land that thou abhorrest shall be forsaken of both her kings . ||| 16 Porque antes que el niño sepa desechar lo malo y escoger lo bueno , la tierra que tú aborreces será abandonada de sus dos reyes .
17 The Lord shall bring upon thee , and upon thy people , and upon thy father ’ s house , days that have not come from the day that Ephraim departed from Judah , the king of Assyria . ||| 17 El Señor traerá sobre ti , sobre tu pueblo y sobre la casa de tu padre , días cuales nunca han venido desde el día en que Efraín se apartó de Judá , esto es , al rey de Asiria .
18 And it shall come to pass in that day that the Lord shall hiss for the fly that is in the uttermost part of Egypt , and for the bee that is in the land of Assyria . ||| 18 Y acontecerá que en aquel día el Señor silbará a la mosca que está en la parte lejana de Egipto , y a la abeja que se halla en la tierra de Asiria .
19 And they shall come , and shall rest all of them in the desolate valleys , and in the holes of the rocks , and upon all thorns , and upon all bushes . ||| 19 Y vendrán y se establecerán todas en los valles desolados , y en las hendiduras de las rocas , y en todo zarzal y en toda mata .
20 In the same day shall the Lord shave with a razor that is hired , by them beyond the river , by the king of Assyria , the head , and the hair of the feet ; and it shall also consume the beard . ||| 20 En aquel día afeitará el Señor con navaja alquilada , por los de la otra parte del río , por el rey de Asiria , la cabeza y pelos de los pies ; y también raerá la barba .
21 And it shall come to pass in that day , a man shall nourish a young cow and two sheep ; ||| 21 Y acontecerá en aquel día que un hombre criará una vaca y dos ovejas ;
22 And it shall come to pass , for the abundance of milk they shall give he shall eat butter ; for butter and honey shall every one eat that is left in the land . ||| 22 y acontecerá que por la abundancia de leche que ellas darán , comerá mantequilla ; porque mantequilla y miel comerán todos los que permanecieren en la tierra .
23 And it shall come to pass in that day , every place shall be , where there were a thousand vines at a thousand silverlings , which shall be for briers and thorns . ||| 23 Y sucederá que en aquel día , todo lugar en donde había mil vides que valían mil siclos de plata , se quedará para cardos y espinas .
24 With arrows and with bows shall men come thither , because all the land shall become briers and thorns . ||| 24 Con flechas y arcos los hombres entrarán allá , porque toda la tierra será cardos y espinas .
25 And all hills that shall be digged with the mattock , there shall not come thither the fear of briers and thorns ; but it shall be for the sending forth of oxen , and the treading of lesser cattle . ||| 25 Y a todos los collados que fueren cavados con azada , no llegarán por temor a los cardos y espinas , mas serán para pasto de bueyes y para ser pisados de ganado menor .
Chapter 18 ||| Capítulo 18
Christ will be as a stone of stumbling and a rock of offense — Seek the Lord , not peeping wizards — Turn to the law and to the testimony for guidance — Compare Isaiah 8. About 559–545  B . C . ||| Cristo será por tropezadero y piedra de tropiezo  — Buscad al Señor y no a los adivinos que atisban  — Volveos a la ley y al testimonio para recibir orientación  — Compárese con Isaías 8. Aproximadamente 559–545  a . C .
1 Moreover , the word of the Lord said unto me : Take thee a great roll , and write in it with a man ’ s pen , concerning Maher - shalal - hash - baz . ||| 1 Además , la palabra del Señor me dijo : Toma una tabla grande , y escribe en ella con caracteres de hombre tocante a Maher - shalal - hash - baz .
2 And I took unto me faithful witnesses to record , Uriah the priest , and Zechariah the son of Jeberechiah . ||| 2 Y tomé por testigos fieles para atestiguar , al sacerdote Urías y a Zacarías hijo de Jeberequías .
3 And I went unto the prophetess ; and she conceived and bare a son . Then said the Lord to me : Call his name , Maher - shalal - hash - baz . ||| 3 Y me allegué a la profetisa , y concibió y dio a luz un hijo . Entonces me dijo el Señor : Llámalo Maher - shalal - hash - baz .
4 For behold , the child shall not have knowledge to cry , My father , and my mother , before the riches of Damascus and the spoil of Samaria shall be taken away before the king of Assyria . ||| 4 Pues he aquí , antes que el niño sepa decir : Padre mío y madre mía , serán quitadas las riquezas de Damasco y el despojo de Samaria delante del rey de Asiria .
5 The Lord spake also unto me again , saying : ||| 5 Y me habló el Señor otra vez , diciendo :
6 Forasmuch as this people refuseth the waters of Shiloah that go softly , and rejoice in Rezin and Remaliah ’ s son ; ||| 6 Por cuanto este pueblo desecha las aguas de Siloé , que corren plácidamente , y se huelga con Rezín y el hijo de Remalías ;
7 Now therefore , behold , the Lord bringeth up upon them the waters of the river , strong and many , even the king of Assyria and all his glory ; and he shall come up over all his channels , and go over all his banks . ||| 7 el Señor , pues , hará subir sobre ellos las aguas del río , fuertes y muchas , es decir , al rey de Asiria y toda su gloria ; y subirá sobre todos sus arroyos y pasará sobre todas sus riberas .
8 And he shall pass through Judah ; he shall overflow and go over , he shall reach even to the neck ; and the stretching out of his wings shall fill the breadth of thy land , O Immanuel . ||| 8 Y fluirá por Judá ; se desbordará e inundará ; y llegará hasta la garganta ; y la extensión de sus alas llenará la anchura de tu tierra , ¡ oh Emanuel !
9 Associate yourselves , O ye people , and ye shall be broken in pieces ; and give ear all ye of far countries ; gird yourselves , and ye shall be broken in pieces ; gird yourselves , and ye shall be broken in pieces . ||| 9 ¡ Reuníos , oh pueblos , y seréis quebrantados ! ¡ Escuchad , todos vosotros los de países lejanos ; ceñíos , y seréis quebrantados ; apercibíos , y seréis quebrantados !
10 Take counsel together , and it shall come to naught ; speak the word , and it shall not stand ; for God is with us . ||| 10 Reuníos en consejo , y será anulado ; hablad palabra , y no permanecerá ; porque Dios está con nosotros .
11 For the Lord spake thus to me with a strong hand , and instructed me that I should not walk in the way of this people , saying : ||| 11 Porque el Señor de este modo me habló con mano fuerte , y me instruyó que no anduviese por el camino de este pueblo , diciendo :
12 Say ye not , A confederacy , to all to whom this people shall say , A confederacy ; neither fear ye their fear , nor be afraid . ||| 12 No llaméis conspiración a todo lo que este pueblo llama conspiración ; ni temáis lo que ellos temen , ni tengáis miedo .
13 Sanctify the Lord of Hosts himself , and let him be your fear , and let him be your dread . ||| 13 Al Señor de los Ejércitos santificad ; y sea él vuestro temor , y sea él vuestro miedo .
14 And he shall be for a sanctuary ; but for a stone of stumbling , and for a rock of offense to both the houses of Israel , for a gin and a snare to the inhabitants of Jerusalem . ||| 14 Y él será por santuario ; pero por tropezadero y piedra de tropiezo a las dos casas de Israel ; por trampa y lazo a los habitantes de Jerusalén .
15 And many among them shall stumble and fall , and be broken , and be snared , and be taken . ||| 15 Y muchos de ellos tropezarán y caerán ; y serán quebrantados , entrampados y apresados .
16 Bind up the testimony , seal the law among my disciples . ||| 16 Ata el testimonio ; sella la ley entre mis discípulos .
17 And I will wait upon the Lord , that hideth his face from the house of Jacob , and I will look for him . ||| 17 Y yo esperaré al Señor , el cual oculta su cara de la casa de Jacob , y en él confiaré .
18 Behold , I and the children whom the Lord hath given me are for signs and for wonders in Israel from the Lord of Hosts , which dwelleth in Mount Zion . ||| 18 He aquí , yo y los hijos que el Señor me ha dado somos a Israel por señales y presagios de parte del Señor de los Ejércitos , que habita en el monte de Sion .
19 And when they shall say unto you : Seek unto them that have familiar spirits , and unto wizards that peep and mutter — should not a people seek unto their God for the living to hear from the dead ? ||| 19 Y cuando os dijeren : Preguntad a los evocadores , y a los adivinos que atisban y hablan entre dientes : ¿ No debe un pueblo consultar a su Dios para que los vivos oigan de los muertos ?
20 To the law and to the testimony ; and if they speak not according to this word , it is because there is no light in them . ||| 20 ¡ A la ley y al testimonio ! Y si no hablaren conforme a esta palabra , es porque no hay luz en ellos .
21 And they shall pass through it hardly bestead and hungry ; and it shall come to pass that when they shall be hungry , they shall fret themselves , and curse their king and their God , and look upward . ||| 21 Y pasarán por la tierra , duramente acosados y hambrientos ; y acontecerá que cuando tengan hambre , se enojarán y maldecirán a su rey y a su Dios , y alzarán la vista hacia arriba .
22 And they shall look unto the earth and behold trouble , and darkness , dimness of anguish , and shall be driven to darkness . ||| 22 Y mirarán hacia la tierra , y contemplarán tribulación y tinieblas , obscuridad de angustia ; y serán expulsados a las tinieblas .
Chapter 19 ||| Capítulo 19
Isaiah speaks messianically — The people in darkness will see a great light — Unto us a child is born — He will be the Prince of Peace and will reign on David ’ s throne — Compare Isaiah 9. About 559–545  B . C . ||| Isaías habla del Mesías  — El pueblo que andaba en tinieblas verá una gran luz  — Un niño nos es nacido  — Será el Príncipe de Paz y reinará sobre el trono de David  — Compárese con Isaías 9. Aproximadamente 559–545  a . C .
1 Nevertheless , the dimness shall not be such as was in her vexation , when at first he lightly afflicted the land of Zebulun , and the land of Naphtali , and afterwards did more grievously afflict by the way of the Red Sea beyond Jordan in Galilee of the nations . ||| 1 Sin embargo , la obscuridad no será como lo fue en su oprobio , cuando él primero afligió ligeramente la tierra de Zabulón y la de Neftalí , y después la angustió más penosamente por la costa del mar Rojo , del otro lado del Jordán , en Galilea de las naciones .
2 The people that walked in darkness have seen a great light ; they that dwell in the land of the shadow of death , upon them hath the light shined . ||| 2 El pueblo que andaba en tinieblas ha visto una gran luz ; sobre los que moraban en la tierra de la sombra de muerte , la luz ha resplandecido .
3 Thou hast multiplied the nation , and increased the joy — they joy before thee according to the joy in harvest , and as men rejoice when they divide the spoil . ||| 3 Tú has multiplicado la nación y aumentado el gozo ; se alegran delante de ti , como se regocijan en la siega ; como se alegran los hombres cuando se reparten el despojo .
4 For thou hast broken the yoke of his burden , and the staff of his shoulder , the rod of his oppressor . ||| 4 Porque has quebrado el yugo de su carga , y la vara de su hombro , y el cetro de su opresor .
5 For every battle of the warrior is with confused noise , and garments rolled in blood ; but this shall be with burning and fuel of fire . ||| 5 Porque toda batalla del guerrero es con ruido estruendoso y con vestidos revolcados en sangre ; pero esto será con quemadura y pábulo de fuego .
6 For unto us a child is born , unto us a son is given ; and the government shall be upon his shoulder ; and his name shall be called , Wonderful , Counselor , The Mighty God , The Everlasting Father , The Prince of Peace . ||| 6 Porque un niño nos es nacido , un hijo nos es dado ; y sobre sus hombros estará el principado ; y se llamará su nombre Admirable , Consejero , Dios Fuerte , Padre Eterno , Príncipe de Paz .
7 Of the increase of government and peace there is no end , upon the throne of David , and upon his kingdom to order it , and to establish it with judgment and with justice from henceforth , even forever . The zeal of the Lord of Hosts will perform this . ||| 7 Del aumento de su dominio y paz no habrá fin , sobre el trono de David y sobre su reino , a fin de disponerlo y confirmarlo con juicio y con justicia , desde ahora y para siempre . El celo del Señor de los Ejércitos hará esto .
8 The Lord sent his word unto Jacob and it hath lighted upon Israel . ||| 8 El Señor envió su palabra a Jacob , y cayó en Israel .
